sequence,label,category
GVIWIA,1,2
LATVYA,0,2
GLSIFV,1,2
TFWEIS,0,2
YIFNNC,1,2
ERIEKV,0,2
LNTVYV,1,2
CQIVYK,1,2
VQIVYT,1,2
PMINLY,0,2
TVIVIR,0,2
VQIVVK,1,2
AEMEYL,0,2
RMFNII,0,2
GYFLNM,1,2
VEIVYK,1,2
LQTVYV,1,2
VQIVYI,1,2
TGVVVV,0,2
EYLKIA,0,2
LAVVYV,1,2
VQIVYC,1,2
SEVIIE,1,2
LATVYP,0,2
LATVYY,1,2
VIIVYK,1,2
AAELRN,0,2
SHLVEA,0,2
QLFLQI,1,2
YLLYYT,1,2
STVEIE,1,2
LATVQV,1,2
SNVIIE,1,2
STVMIE,0,2
VQIVMK,1,2
DADLYL,0,2
STLIIE,1,2
SKVIIE,0,2
WQIVYK,1,2
YQAYNA,0,2
WIVIFF,1,2
NPAMMA,0,2
STVIWE,0,2
ETVIVI,0,2
VQIVYD,1,2
MYWIIF,0,2
LVEALY,1,2
GNCFIL,1,2
AAIIGQ,1,2
STFIFE,1,2
GLFINM,1,2
EEEKSA,0,2
MATVYV,1,2
AGVNYF,1,2
SQVIIE,1,2
VTIITV,0,2
STAIIE,0,2
LVTVYV,1,2
YLNWYQ,1,2
QATVYV,1,2
LATVYG,0,2
LFTVYV,1,2
QFFLQF,1,2
VIFTIM,1,2
WSFYLL,0,2
HGWLIM,1,2
VVTSEE,0,2
VQIVYS,1,2
EKNLYL,0,2
LYQLEN,1,2
VQIVYV,1,2
LTTVYV,1,2
TAVHCF,0,2
LATKYV,0,2
STVAIE,0,2
LATVHV,1,2
KLVFFA,1,2
STFLIE,1,2
SSVIIE,1,2
VQIVYF,1,2
KLFIIQ,1,2
MERLRI,0,2
HYFNIF,1,2
VVIVYK,1,2
VTLWWG,1,2
STLLIE,0,2
MQIVYK,1,2
VQIVFK,1,2
FYLLYY,1,2
TTVIIE,1,2
FIVNIV,1,2
VSIVYK,1,2
LSTVYV,1,2
NYVWIV,1,2
FQIVYK,1,2
STVLIE,1,2
LVFYQQ,1,2
IEMIFV,1,2
LADVYV,0,2
DETVIV,0,2
KAAIDW,0,2
LATVYR,0,2
KCWCFT,1,2
NATVYV,1,2
TAWYAE,0,2
ALALQT,0,2
EQIVYK,1,2
LAFVYV,1,2
ELNIYQ,0,2
STLIFE,0,2
LIVAGS,1,2
IATVYV,1,2
LAAVYV,1,2
